,Unnamed: 0,FUND,CNT,SRC_UID,EOM
16078,16078,Suricata suricatta,1043,880880278933,2020-01-31
16079,16079,Macaca fuscata,1362,188803777670426,2020-01-31
16080,16080,Bugeranus caruncalatus,1746,206670690,2020-01-31
16081,16081,Phaethon aethereus,455,455157311,2020-01-31
16082,16082,Papio ursinus,1078,409790534092,2020-01-31
16083,16083,Halcyon smyrnesis,2154,200109499869465,2020-01-31
16084,16084,Lepus townsendii,7,188703120510450,2020-01-31
16085,16085,Dasyurus viverrinus,107,206670754,2020-01-31
16086,16086,Pycnonotus barbatus,948,52096762037,2020-01-31
16087,16087,Gerbillus sp.,3029,186711785308213,2020-01-31
16088,16088,Bucephala clangula,330,737766433094,2020-01-31
16089,16089,Anthropoides paradisea,888,880923451687,2020-01-31
16090,16090,Varanus komodensis,644,880930580959,2020-01-31
16093,16093,Panthera pardus,374,656756747842,2020-01-31
16094,16094,Cordylus giganteus,557,108203096943,2020-01-31
16096,16096,Ursus arctos,460,189654246454691,2020-01-31
16097,16097,Axis axis,386,206670739,2020-01-31
16098,16098,Physignathus cocincinus,407,206670711,2020-01-31
16101,16101,Lamprotornis nitens,1484,656760542396,2020-01-31
16102,16102,Podargus strigoides,18,206670764,2020-01-31
16103,16103,Echimys chrysurus,1027,537115818972,2020-01-31
16104,16104,Cereopsis novaehollandiae,1425,206670721,2020-01-31
16105,16105,Pelecanus occidentalis,490,206670734,2020-01-31
16106,16106,Mustela nigripes,308,1451747082532,2020-01-31
16109,16109,Ovis canadensis,3113,206670723,2020-01-31
16110,16110,Charadrius tricollaris,136,189669305873243,2020-01-31
16111,16111,Eumetopias jubatus,279,1540205459539,2020-01-31
16115,16115,Charadrius tricollaris,1154,189669305873243,2020-02-29
16116,16116,Boa constrictor mexicana,287,198188413318323,2020-02-29
16117,16117,Laniaurius atrococcineus,57,40234253942,2020-02-29
16119,16119,Phaethon aethereus,112,455157311,2020-02-29
16121,16121,Psophia viridis,1353,206670770,2020-02-29
16122,16122,Alcelaphus buselaphus cokii,2128,181701414249,2020-02-29
