,SRC_UID,EOM,WEIGHTED,COUNTRY,PSU,PSU_SCORE
1986,437983596250,31.03.2013,0.9345,SWITZERLAND,Switzerland,2.0
1987,413976258580,31.03.2013,0.5529,U.S.A.,US,3.0
1988,189669356346606,31.03.2013,0.1826,BRAZIL,Latin America,1.0
1989,369592842106,31.03.2013,0.5529,U.S.A.,US,3.0
1990,1477794168859,31.03.2013,0.1753,CHINA,China,2.0
1991,1461078666,31.03.2013,0.2489,UNITED KINGDOM,UK,2.0
1992,206670722,31.05.2012,0.22399999999999998,FRANCE,Eurozone,4.0
1993,206670723,31.05.2012,0.452,U.S.A.,US,4.0
1994,186711785308213,31.05.2012,0.431,U.S.A.,US,4.0
1995,55902523917,31.12.2012,0.17800000000000002,CHINA,China,1.0
1996,105401395916,31.12.2012,0.431,U.S.A.,US,2.0
1997,103848517578,31.05.2012,0.39799999999999996,U.S.A.,US,4.0
1998,206670742,31.05.2012,0.851,U.S.A.,US,4.0
1999,656760542396,31.12.2012,0.456,U.S.A.,US,2.0
2000,188703129863464,31.12.2012,0.9988,RUSSIA,World,2.0
2001,269286596864,31.05.2012,0.909,U.S.A.,US,4.0
2002,63446153971,31.12.2012,0.22699999999999998,INDIA,Emerging Asia (ex-China),1.0
